MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
5651,Family Clothing Stores,"Merchants classified with this MCC sell general lines of men’s, women’s, and children’s clothing and accessories without specializing in sales for a particular gender or age group.","Apparel – Family Clothing Stores Clothing – Family Clothing Stores Jeans, Denim Clothing Stores",5611 – Men’s and Boys’ Clothing and Accessory Stores 5621 – Women’s Ready-To-Wear Stores 5631 – Women’s Accessory and Specialty Shops 5641 – Children’s and Infants’ Wear Stores 5655 – Sports and Riding Apparel Stores 5661 – Shoe Stores 5681 – Furriers and Fur Shops ....... 5691 – Men’s and Women’s Clothing Stores 5699 – Miscellaneous Apparel and Accessory Shops
5655,Sports and Riding Apparel Stores,"Merchants classified with this MCC sell athletic, sports, and riding apparel and active wear.","Active Wear – Sports Apparel Apparel – Sports, Riding Apparel Stores Athletic Apparel Stores
Clothing – Sports Apparel, Riding Apparel Stores Equestrian Apparel Riding Apparel – Sports Apparel",5661 – Shoe Stores 5699 – Miscellaneous Apparel and Accessory Shops 5941 – Sporting Goods Stores
5661,Shoe Stores,"Merchants classified with this MCC sell men’s, women’s, and/or children’s footwear (including athletic footwear) and accessories.",Athletic Shoe Stores Boot Shops Footwear Stores Western Boot Shops,
5681,Furriers and Fur Shops,"Merchants classified with this MCC sell a variety of items made of animal fur, including coats, jackets, hats, and gloves.","Apparel – Furriers, Fur Shops Clothing – Furriers, Fur Shops Coat Stores – Furriers",5621 – Women’s Ready-To-Wear Shops 5631 – Women’s Accessory and Specialty Shops 5691 – Men’s and Women’s Clothing Stores 5699 – Miscellaneous Apparel and Accessory Shops
5691,Men’s and Women’s Clothing Stores,Merchants classified with this MCC sell men’s and women’s clothing and accessories but not infants’ and children’s clothing.,Apparel – Men’s Clothing Stores Clothing – Women’s Clothing Stores,5611 – Men’s and Boys’ Clothing and Accessories Stores 5621 – Women’s Ready-To-Wear Stores 5631 – Women’s Accessory and Specialty Shops 5641 – Children’s and Infants’ Wear Stores 5651 – Family Clothing Stores 5699 – Miscellaneous Apparel and Accessory Shops
5697,"Tailors, Seamstresses, Mending, and Alterations","Merchants classified with this MCC create and sell custom-made clothing and perform alterations, mending, and garment repair or restoration.","Alterations Apparel – Tailors, Seamstresses, Mending, Alterations Clothing – Tailors, Seamstresses, Mending, Alterations Custom Made Clothing Dressmakers
Hand Made Clothing Made-To-Order Clothing Mending, Alterations Repairs – Tailors, Seamstresses, Mending, Alterations Seamstresses Services – Tailors, Seamstresses, Mending, Alterations Sewing Shops – Alterations","5949 – Sewing, Needlework, Fabric and Piece Goods Stores"
5698,Wig and Toupee Stores,"Merchants classified with this MCC sell permanently attached or temporary toupees, wigs, hair pieces, and hair extensions or provide hair weaving services.","Hair Pieces, Extensions Hair Replacement – Non-Surgical Toupee Stores",5999 – Miscellaneous and Specialty Retail Stores 7230 – Beauty and Barber Shops 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
5699,Miscellaneous Apparel and Accessory Shops,Merchants classified with this MCC sell specialized lines of apparel (excluding fur) and accessories that are not classified with a more specific MCC.,"Clothing – Formal Wear Clothing – Miscellaneous Apparel, Accessory Shops Swim Wear Shop T-Shirt Stores","5611 – Men’s and Boys’ Clothing and Accessories Stores 5621 – Women’s Ready-to-Wear Stores 5631 – Women’s Accessory and Specialty Shops 5641 – Children’s and Infants’ Wear Stores 5651 – Family Clothing Stores 5661 – Shoe Stores 5681 – Furriers and Fur Shops 5691 – Men’s and Women’s Clothing Stores 5697 – Tailors, Seamstresses, Mending, and Alterations"
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",Merchants classified with this MCC sell home furnishings and a wide variety of finished furniture products and accessories for the home.,"Bedding, Mattress Stores Custom Made Furniture Equipment Stores Home Furnishings, Furniture Made-to-Order Furniture Mattress Stores Outdoor Furnishings Patio, Porch Furnishings
Stores","5713 – Floor Covering Stores 5714 – Drapery, Window Covering, and Upholstery Stores 5719 – Miscellaneous Home Furnishing Specialty Stores 5722 – Household Appliance Stores 5732 – Electronics Stores 7641 – Furniture – Reupholstery, Repair, and Refinishing"
5713,Floor Covering Stores,"Merchants classified with this MCC are retail sellers of floor coverings such as carpet, area rugs, floor tile, linoleum, stone, wood, and brick, and may or may not also perform installation services.","Carpet, Rug Stores Linoleum Stores Rug Stores Tile Stores","5712 – Furniture, Home Furnishings and Equipment Stores, Except Appliances 5719 – Miscellaneous Home Furnishing Specialty Stores 1799 – Special Trade Contractors (Not Elsewhere Classified)"
5714,"Drapery, Window Covering, and Upholstery Stores","Merchants classified with this MCC sell draperies, curtains, venetian blinds, window shades, and upholstery materials.",Curtain Stores Upholstery Materials Stores Window-covering Stores,"5712 – Furniture, Home Furnishings and Equipment Stores, Except Appliances 5719 – Miscellaneous Home Furnishing Specialty Stores 7641 – Furniture – Reupholstery, Repair, and Refinishing"
5718,"Fireplace, Fireplace Screens and Accessories Stores","Merchants classified with this MCC sell pre-made fireplaces, wood stoves, and fireplace parts and accessories.","Hearth, Accessories Stores Heating – Fireplace, Accessories Stores Stoves – Fireplaces, Accessories Stores Woodburning Stoves, Accessories Stores","1740 – Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors 5251 – Hardware Stores 5719 – Miscellaneous Home Furnishing Specialty Stores"
5719,Miscellaneous Home Furnishing Specialty Stores,"Merchants classified with this MCC sell miscellaneous home furnishings such as housewares, cutlery, bedding and linen, lamps and shades, mirrors and pictures, pottery, and ceramic items.","Accessories – Home Furnishings Bed, Bath Shops Cookware Stores Cutlery – Kitchen Home Furnishing Specialty Stores – Miscellaneous Housewares Stores Kitchenware Stores Lamp, Lighting Shops Linen Shops Pottery Stores","5712 – Furniture, Home Furnishings and Equipment Stores, Except Appliances 5713 – Floor Covering Stores 5714 – Drapery, Window Covering, and Upholstery Stores 5718 – Fireplace, Fireplace Screens and Accessories Stores 5722 – Household Appliance Stores 5932 – Antique Shops – Sales, Repairs, and Restoration Services 5950 – Glassware/Crystal Stores"
5722,Household Appliance Stores,"Merchants classified with this MCC sell household appliances such as gas or electric ranges and stoves, ovens, refrigerators, dishwashers, water heaters, washers and dryers, garbage disposals, sewing machines, self-contained air conditioning units, and vacuum cleaners, and may or may not also conduct repair work.",Sewing Machine Stores Vacuum Cleaner Stores,"5712 – Furniture, Home Furnishings and Equipment Stores, Except
Appliances 5719 – Miscellaneous Home Furnishing Specialty Stores 7623 – Air Conditioning and Refrigeration Repair Shops 7629 – Electrical and Small Appliance Repair Shops 7699 – Miscellaneous Repair Shops and Related Services"
5723,"Guns and Ammunition Shops (effective July 1, 2024)",Merchants classified with this MCC sell guns and/or ammunition. Merchants whose primary business involves the sale of guns and/or ammunition will use this MCC.,This MCC should only be used in those jurisdictions where it is legally required,5941 – Sporting Goods Stores 5999 – Miscellaneous and Specialty Retail Shops
5732,Electronics Stores,"Merchants classified with this MCC sell a wide variety of electronic goods such as televisions, radios, cameras, computers, tablets, and stereo components and may also sell electronic parts and or accessories for the repair, construction or assembly of electronic equipment and/or also conduct repair work.","Camcorders (And Other Electronics) Computer Hardware (And Other Electronics) Electronic Parts Electronic Repair Shops High Fidelity Equipment Personal Computers Radios Stereos, Receivers, CD Equipment Television Stores VCR’s Video Cameras (And Other Electronics)",5722 – Household Appliance Stores 5946 – Camera and Photographic Supply Stores 7622 – Electronics Repair Shops 7629 – Electrical and Small Appliance Repair Shops 7699 – Miscellaneous Repair Shops and Related Services 7841 – DVD/Video Tape Rental Stores
5733,"Music Stores – Musical Instruments, Pianos, and Sheet Music","Merchants classified with this MCC sell musical instruments, sheet music, keyboards, instruction books, pianos, guitars and related supplies and equipment and may also offer music instruction.",Guitar Stores Instruments – Musical Pianos,5732 – Electronics Stores 5735 – Record Stores 8299 – Schools and Educational Services (Not Elsewhere Classified)
5734,Computer Software Stores,Merchants classified with this MCC sell computer software programs for business and personal use and may also sell or lease computer hardware or other related products. Merchants that sell applications for mobile devices should use MCC 5817.,,"5732 – Electronics Stores 7372 – Computer Programming, Data
Processing, and Integrated Systems Design Services 7379 – Computer Maintenance, Repair and Services (Not Elsewhere Classified)"
5735,Record Stores,"Merchants classified with this MCC sell records, compact discs (CDs), and cassettes, and may also rent video tapes.","CD, Cassette, Record Stores Compact Disc, Cassette, Record Stores Music Stores – Prerecorded Records, CDs, Cassettes Record, CD, Cassette Stores Used Record/CD Stores","7841 – DVD/Video Tape Rental Stores 5815 – Digital Goods Media – Books, Movies, Music"
5811,Caterers,"Merchants classified with this MCC contract with consumers to prepare and deliver (typically to a specified location) food and drinks for immediate consumption and may also provide clean-up services, tables, serving equipment, decorations, and personnel for on-site serving and cleanup.",Food Preparation – Catering,5812 – Eating Places and Restaurants
5812,Eating Places and Restaurants,"Merchants classified with this MCC prepare food and drinks for immediate consumption, typically on the Merchant’s premises. These Merchants typically provide table service and may include alcoholic beverages on the menu. This MCC includes food delivery for Merchants qualifying for this MCC.","Cafes, Restaurants Cafeterias Diners – Eating Establishments Restaurants Soda Fountains","5462 – Bakeries 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets 5813 – Drinking Places (Alcoholic Beverages) – Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques 5814 – Fast Food Restaurants"
5813,"Drinking Places (Alcoholic Beverages) – Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques","Merchants classified with this MCC sell alcoholic beverages such as wine, beer, mixed drinks, and other liquors and beverages for consumption on the premises.","Drinking Establishments Beer Parlors Breweries, Bars Comedy Clubs Lounges Micro-breweries Pubs Saloons Tap Rooms Wine Bars",5812 – Eating Places and Restaurants
5814,Fast Food Restaurants,"Merchants classified with this MCC sell prepared food and beverages for consumption either on the premises or packaged for carry-out. Orders are typically made and paid for at a counter, kiosk or drive-through window. This MCC includes food delivery for Merchants qualifying for this MCC.",Quick Service Restaurants Vending Machines – Food Sandwich Shops Ice Cream Shops Coffee Shops Yogurt Shops Pretzel Stands,5812 – Eating Places and Restaurants 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5815,"Digital Goods Media – Books, Movies, Digital artwork/images, Music","Merchants classified with this MCC sell books, movies, digital artwork/images or music that is delivered in electronic format. Merchants offering online streaming of digital media content on a subscription basis should use MCC 4899",,"5192 – Books, Periodicals, Newspapers 7832 – Movie Theaters, Motion Picture Theaters 5735 – Record Stores 5818 – Digital Goods – Large Digital Goods Merchant 4899 – Cable, Satellite and Other Pay Television/Radio/Streaming Services"
5816,Digital Goods – Games,Merchants classified with this MCC sell games (including games of skill but excluding games of chance) that are delivered in electronic format.,Fantasy Sports (in jurisdictions where they not considered gambling),"7993 – Video Amusement Game Supplies 7994 – Video Game Arcades/Establishments 7995 – Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wagers at Race Tracks and games of chance to win prizes of monetary value 7800 – Gambling – Government- Owned Lotteries 7801 – Gambling – Government- Licensed On-Line Casinos 7802 – Gambling – Government- Licensed Horse/Dog Racing"
5817,Digital Goods – Applications (Excludes Games),Merchants classified with this MCC sell applications or software (excludes games) that are delivered in electronic format.,,5734 – Software – Computer: Computer Software Stores 5045 – Software – Computer: Computers and Computer Peripheral Equipment and Software 5816 – Digital Goods – Games
5818,Digital Goods – Large Digital Goods Merchant,"All regions (excluding Europe): Merchants classified with this MCC are large-volume Merchants that sell digital goods (goods delivered via electronic format) with a minimum threshold of 25 million transactions annually. Europe region only: Merchants classified with this MCC are digital goods Merchants that are categorized as PCI DSS Level 1, as they process over 6 million Visa transactions annually.",,
5912,Drug Stores and Pharmacies,Merchants classified with this MCC sell prescription and proprietary drugs,"Medicine – Prescription, Pharmacies Pharmacies Prescription Medication","5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets 5122 – Drugs, Drug Proprietaries, and Druggist Sundries"
5921,"Package Stores – Beer, Wine, and Liquor","Merchants classified with this MCC sell packaged alcoholic beverages such as beer, wine, and liquor for consumption off the premises and may also sell a limited variety of food and snack items, newspapers and magazines, and a limited selection of toiletries and over-the-counter medicines.",Alcohol – Liquor Stores,"5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets 5813 – Drinking Places (Alcoholic Beverages) – Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques"
5931,Used Merchandise and Secondhand Stores,"Merchants classified with this MCC sell used merchandise or secondhand goods such as accessories, shoes and clothing, furniture, books, bicycles, musical instruments, sewing machines, electronic equipment, appliances, and other household items. Typically, the items for sale have been donated or are on consignment.",Consignment Shops Secondhand Stores Thrift Stores Vintage Clothing,"5932 – Antique Shops – Sales, Repairs, and Restoration Services 5933 – Pawn Shops"
5932,"Antique Shops – Sales, Repairs, and Restoration Services","Merchants classified with this MCC sell antiques such as furniture, jewelry, cameras and photographic equipment, tools, artwork, books, appliances and other household items. This MCC does not include retail sellers of antique automobiles.",Services – Antique Restoration,"5521 – Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing 7641 – Furniture – Reupholstery, Repair, and Refinishing"
5933,Pawn Shops,Merchants classified with this MCC lend money in exchange for personal property left with the Merchants as security.,,"5931 – Used Merchandise and
Secondhand Stores 5932 – Antique Shops – Sales, Repairs, and Restoration Services"
5935,Wrecking and Salvage Yards,Merchants classified with this MCC provide wrecking and salvaging services.,Junk Yards,7549 – Towing Services
5937,Antique Reproductions,"Merchants classified with this MCC sell antique reproductions or facsimiles of clothing, furniture, rugs, paintings and artwork, mirrors, glassware, jewelry, and other household and personal items and may also provide antique photograph reproduction and restoration services.",,"5932 – Antique Shops – Sales, Repairs, and Restoration Services"
5940,Bicycle Shops – Sales and Service,"Merchants classified with this MCC sell bicycles, bicycle parts, and accessories (including a limited variety of related sporting apparel) and may also conduct repair work.",Mountain Bikes Service – Bicycles,5941 – Sporting Goods Stores 7699 – Miscellaneous Repair Shops and Related Services 7999 – Recreation Services (Not Elsewhere Classified)
5941,Sporting Goods Stores,"Merchants classified with this MCC sell sporting goods, sports equipment, camping supplies, and related parts and accessories, and may also rent or repair equipment.","Backpacking Equipment Bait, Tackle Stores Billiard Tables – Sales Camping Equipment Cutlery – Sporting Knives Exercise Equipment Fishing – Equipment, Bait, Tackle Golf Equipment Hiking Equipment Hunting Equipment, Supplies including Firearms and Ammunition3 In-Line Skates Shops Pool Tables – Sales Rollerblade Shops Scuba, Skin Diving Equipment
Skateboard Shops Ski Shops Skin Diving, Scuba Equipment Surfboards, Accessories Trekking Equipment Windsurf Boards, Accessories","5099 Durable Goods (Not Elsewhere Classified) 5999 Miscellaneous and Specialty Retail Shops 5551 – Boat Dealers 5561 – Camper, Recreational and Utility Trailer Dealers 5571 – Motorcycle Shops and Dealers 5598 – Snowmobile Dealers5940 – Bicycle Shops – Sales and Service 7699 – Miscellaneous Repair Shops and Related Services 7999 – Recreation Services (Not Elsewhere Classified)"
5942,Book Stores,"Merchants classified with this MCC sell new and/or used books, journals, magazines, textbooks, maps and atlases, audio books, and calendars.",Paperbacks – Book Stores Textbooks,"5943 – Stationery Stores, Office and School Supply Stores"
5943,"Stationery Stores, Office and School Supply Stores","Merchants classified with this MCC are retail sellers of paper goods used in offices and schools, office and school supplies,, and small office equipment and furniture.",Office Supply Stores School Supply Store,"5732 – Electronics Stores 5734 – Computer Software Stores 5978 – Typewriter Stores – Sales, Rentals, and Service 7394 – Equipment, Tool, Furniture, and Appliance Rental and Leasing"
5944,"Jewelry Stores, Watches, Clocks, and Silverware Stores","Merchants classified with this MCC sell fine jewelry, watches, clocks, and sterling silver and silver-plated flatware and accessories, and may also repair fine jewelry.","Clock Shop Diamond Stores Gems, Precious Metals, Jewelry Jewelry – Fine Precious Gems, Metals, Jewelry Silversmiths Silverware Stores Watch Shops","5631 – Women’s Accessory and Specialty Shops 5719 – Miscellaneous Home Furnishing Specialty Stores 5932 – Antique Shops – Sales, Repairs, and Restoration Services 5933 – Pawn Shops 5947 – Gift, Card, Novelty and Souvenir Shops 5950 – Glassware/Crystal Stores 5972 – Stamp and Coin Stores 7699 – Miscellaneous Repair Shops and Related Services"
5945,"Hobby, Toy, and Game Shops",Merchants classified with this MCC sell toys and games and may also sell a limited selection of do-it- yourself craft or hobby kits.,"Games Stores Hobby Shops Toy Stores Toy, Game Shops",5970 – Artist’s Supply and Craft Shops
5946,Camera and Photographic Supply Stores,"Merchants classified with this MCC sell cameras, film, video equipment, printers, and other photographic equipment and supplies, and may provide photo/video processing services.","Camcorders, Photographic Equipment Equipment – Photographic Supply Stores Photography Supply Stores Supplies – Photographic Video Cameras, Photographic Equipment",5732 – Electronics Stores 7395 – Photofinishing Laboratories and Photo Developing
5947,"Gift, Card, Novelty and Souvenir Shops","Merchants classified with this MCC sell gifts and novelty items, greeting cards, balloons, souvenirs, holiday decorations, stationery, wrapping paper and bows, photo albums, and a limited selection of office supplies.","Memorabilia, Souvenir Shops Novelty Shops Souvenir, Memorabilia Shops","5943 – Stationery Stores, Office and School Supply Stores"
5948,Luggage and Leather Goods Stores,"Merchants classified with this MCC are retail sellers of luggage, trunks, briefcases, leather backpacks, wallets, purses, gloves, and other leather goods, and may also sell a limited selection of leather apparel.",,5999 – Miscellaneous and Specialty Retail Stores
5949,"Sewing, Needlework, Fabric and Piece Goods Stores","Merchants classified with this MCC are retail sellers of fabric, patterns, yarn and other needlework/sewing supplies, and may offer sewing classes or instruction.","Fabric Stores Knitting Shops Needlework Shops Supplies – Sewing, Fabric, Notions, Needlework, Piece Goods Yarn Shops",5970 – Artist’s Supply and Craft Shops 8299 – Schools and Educational Services (Not Elsewhere Classified)
5950,Glassware/Crystal Stores,"Merchants classified with this MCC sell glassware, china and crystal tableware, and glass, china or crystal gift items.","China, Crystal Stores Crystal Stores Cut Glass, Crystal",5719 – Miscellaneous Home Furnishing Specialty Stores
5960,Direct Marketing – Insurance Services,"Merchants classified with this MCC sell insurance via direct mail, billing statement stuffers, and magazine or television ads, all of which include either a toll-free telephone number or an address to which prospective customers may respond.","Automobile Insurance – Sales (Direct Marketing) Insurance Services – Direct Marketing Services – Insurance, Direct Marketing","6300 – Insurance Sales, Underwriting, and Premiums"
5962,Direct Marketing – Travel-Related Arrangement Services,"Merchants classified with this MCC sell travel-related services (including discount travel clubs or newsletters) via outbound telemarketing calls, mailings, magazine or television ads, or other direct marketing methods that include either a toll-free telephone number or an address to which prospective customers may respond.",Services – Direct Marketing Travel- Related Arrangement Services Telemarketing Travel- Related Arrangement Services (Excluding Travel Agencies) Travel Clubs (Direct Marketing) Travel-Related Arrangement Services- Direct Marketing,4722 – Travel Agencies and Tour Operators 4789 – Transportation Services (Not Elsewhere Classified)
5963,Door-To-Door Sales,Merchants classified with this MCC sell a variety of products by means of house-to-house visits.,,
5964,Direct Marketing – Catalog Merchant,Merchants classified with this MCC sell a variety of goods via catalogs and offer no means by which customers may purchase products in a face-to-face manner.,,5965 – Direct Marketing – Combination Catalog and Retail Merchant
5965,Direct Marketing – Combination Catalog and Retail Merchant,"Merchants classified with this MCC sell a variety of goods via catalog and one or more retail outlets. MCC 5965 is used for goods sold via catalog, while the MCC relevant to what is sold in the retail outlets is used for goods sold in the retail outlets.",,5964 – Direct Marketing – Catalog Merchant
5966,Direct Marketing – Outbound Telemarketing Merchant,"Merchants classified with this MCC sell a variety of products using outbound telemarketing methods, where the Merchant initiates contact with prospective buyers via telephone or mailing (other than a catalog) that instructs the cardholder to contact the Merchant. This MCC excludes charitable organizations that conduct outbound telemarketing.",,
5967,Direct Marketing – Inbound Teleservices Merchant,Merchants classified with this MCC sell information or content services (or goods sold through the service) that customers access via telephone or fax or over the internet.,"Adult Content and services including, but not limited to, website subscriptions, video streaming and audio-text Digital Adult Content Merchants",4816 – Computer Network Information Services
5968,Direct Marketing – Continuity/Subscription Merchant,"Merchants classified with this MCC sell subscription products for delivery (such as book clubs, collectibles, magazines/newspapers cosmetics, food, clothing, “nutraceuticals”) via “direct” mail, email. apps, or salespeople. Merchants not participating in direct marketing activities that happen to offer recurring purchase transactions should use the MCC that best describes their business instead. For example, Merchants providing the ongoing delivery of television/radio/streaming content on a subscription basis must use MCC 4899 Qualified Merchants that “directly” sell subscriptions for digital goods or content may use MCC 5815, 5816, 5817, or 5818.",Magazine Subscription (Direct Mail Only) Direct Mail Merchants,"4900 – Utilities – Electric, Gas, Water, Sanitary 5621 – Women’s Ready-to-Wear Stores 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets 5969 – Direct Marketing – Other Direct Marketers (Not Elsewhere Classified) 5977 – Cosmetic Stores 6300 – Insurance Sales Underwriting and Premiums 7997 – Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
5969,Direct Marketing – Other Direct Marketers (Not Elsewhere Classified),"Merchants classified with this MCC sell products or services through a variety of direct response methods that include an order form or an address and/or telephone number the customer may use to place an order by mail, telephone, or fax and that are not classified with a more specific MCC.",Classified Ads – Newspaper (Via Direct Marketing) Ticket Agencies – Direct Marketing,7922 – Theatrical Producers (Except Motion Pictures) and Ticket Agencies
5970,Artist’s Supply and Craft Shops,"Merchants classified with this MCC sell art and craft materials, equipment and supplies used to create other items.","Supplies – Art, Crafts","5945 – Hobby, Toy, and Game Shops 5949 – Sewing, Needlework, Fabric and Piece Goods Stores"
5971,Art Dealers and Galleries,"Merchants classified with this MCC sell artwork such as paintings, photographs, or sculpture.",,"5970 – Artist’s Supply and Craft Shops 7333 – Commercial Photography, Art, and Graphics"
5972,Stamp and Coin Stores,"Merchants classified with this MCC sell postage stamps and coins, and related accessories for the purpose of stamp collecting, coin collecting or investment.","Numismatic Supplies Philatelic Supplies Stamp Collecting Supplies – Numismatic, Philatelic",7399 – Business Services (Not Elsewhere Classified) 9402 – Postal Services – Government Only
5973,Religious Goods Stores,"Merchants classified with this MCC sell religious goods such as figurines, cards, devotion supplies, pictures, books, and decorative items.",,5942 – Book Stores
5975,"Hearing Aids – Sales, Service, and Supply",Merchants classified with this MCC sell hearing aids and related supplies and may also conduct repair work.,"Repairs – Hearing Aids, Sales, Service, Supply, Stores Service – Hearing Aids, Supplies Supplies – Hearing Aids, Service, Supplies",7699 – Miscellaneous Repair Shops and Related Services
5976,Orthopedic Goods – Prosthetic Devices,Merchants classified with this MCC sell a variety of prosthetic devices and orthopedic goods and accessories and may also conduct repair work.,"Orthotics, Prosthetic, Devices Prosthetic Devices",7699 – Miscellaneous Repair Shops and Related Services
5977,Cosmetic Stores,Merchants classified with this MCC sell cosmetics.,Make-Up Stores,5999 – Miscellaneous and Specialty Retail Stores 7230 – Beauty and Barber Shops
5978,"Typewriter Stores – Sales, Rentals, and Service","Merchants classified with this MCC sell, rent, or lease typewriters, may also sell a limited selection of office supplies and equipment, and may also conduct repair work.",,"5943 – Stationery Stores, Office and School Supply Stores 5999 – Miscellaneous and Specialty Retail Stores 7699 – Miscellaneous Repair Shops and Related Services"
5983,"Fuel Dealers – Fuel Oil, Wood, Coal, and Liquefied Petroleum","Merchants classified with this MCC sell fuel oil, wood, coal, liquefied petroleum, aviation fuel, heating oil or gas propane for consumer use, and may also sell fuel for consumer use in automobiles.","Aviation Fuel Coal Dealers Dealers – Fuel Dealers, Fuel Oil, Wood, Coal, Liquefied Petroleum Home Heating Fuel Dealers
Liquefied Petroleum Dealers Oil Dealers Propane Dealers Wood Dealers",5541 – Service Stations (With or Without Ancillary Services) 5542 – Automated Fuel Dispensers
5992,Florists,"Merchants classified with this MCC sell cut flowers, flower arrangements, and potted plants, and may also sell novelty items.",Balloon Bouquets Flower Shops Plant Store,5261 – Nurseries and Lawn and Garden Supply Stores
5993,Cigar Stores and Stands,"Merchants classified with this MCC sell tobacco, cigarettes, electronic cigarettes, cigars, pipes, and smokers’ supplies.",Pipe Shops Smoke Shops Tobacco Shops,5999 – Miscellaneous and Specialty Retail Stores
5994,News Dealers and Newsstands,"Merchants classified with this MCC sell newspapers, magazines, journals, and other periodicals.",Dealers – Newspapers Magazines (Newsstands) Newspapers Periodicals (Newsstands),5942 – Book Stores 5999 – Miscellaneous and Specialty Retail Stores
5995,"Pet Shops, Pet Foods and Supplies Stores","Merchants classified with this MCC sell domestic pets, pet food, and pet supplies.",Animals,5999 – Miscellaneous and Specialty Retail Stores
5996,Swimming Pools – Sales and Service,"Merchants classified with this MCC sell home swimming pools, spas, hot tubs, whirlpool baths, and supplies, and may also provide installation and/or repair services.","Hot Tubs, Spas – Sales, Service, Supplies Services – Hot Tubs, Spas, Sales, Service, Supplies Services – Swimming Pools, Sales, Service, Supplies Supplies – Hot Tubs, Spas Supplies – Swimming Pools",1799 – Special Trade Contractors (Not Elsewhere Classified) 7699 – Miscellaneous Repair Shops and Related Services
5997,Electric Razor Stores – Sales and Service,Merchants classified with this MCC sell electric razors and may also provide repair services.,,5999 – Miscellaneous and Specialty Retail Stores 7699 – Miscellaneous Repair Shops and Related Services
5998,Tent and Awning Shops,Merchants classified with this MCC sell tents and awnings for home or business use and may also provide repair services.,"Awnings – Residential, Commercial",5941 – Sporting Goods Stores 5999 – Miscellaneous and Specialty Retail Stores 7699 – Miscellaneous Repair Shops and Related Services
5999,Miscellaneous and Specialty Retail Shops,Merchants classified with this MCC sell unique or specialized products that are not classified with a more specific MCC.,"Ammunition Stores Atlas, Map Stores Beauty Supply Stores Bottled and Distilled Water Dealers Collectibles, Memorabilia Stores- Sports and Hobby Dealers – Ice Firearms, Ammunition Stores4 Fireworks Stores Frame Shops – Photograph, Poster Gravestones, Monuments – Sales, Installation Headstones, Monuments Ice Dealers Magic Shops Map, Atlas Stores Monuments, Gravestones – Sales, Installation Party Supply Stores Picture Frames, Framing Shops Specialty Retail Stores – Miscellaneous Sunglasses Stores Supplies – Beauty Supply Stores Supplies – Party Tombstones – Sales, Installation Trophy Sales","4468 – Marinas, Marine Service, and Supplies 5099 - Durable Goods (Not Elsewhere Classified) 5499 – Miscellaneous Food Stores 5719 – Miscellaneous Home Furnishing Specialty Stores 5732 – Electronics Stores 5940 – Bicycle Shops – Sales and Service 5941 – Sporting Goods Stores 5948 – Luggage and Leather Goods Stores 5993 – Cigar Stores and Stands 5995 – Pet Shops, Pet Foods and Supplies Stores 5998 – Tent and Awning Shops 7230 – Beauty and Barber Shops 7395 – Photofinishing Laboratories and Photo Developing 7699 – Miscellaneous Repair Shops and Related Services 7841 – DVD/Video Tape Rental Stores 7999 – Recreation Services (Not Elsewhere Classified)"
6010,Financial Institutions – Manual Cash Disbursements,,,
6011,Financial Institutions – Automated Cash Disbursements,,,
6012,"Financial Institutions – Merchandise, Services, and Debt Repayment",,,
6051,"Non-Financial Institutions – Foreign Currency, Liquid and Cryptocurrency Assets (for example: Cryptocurrency), Money",,,
6211,Security Brokers/Dealers,"Merchants classified with this MCC are licensed, in all jurisdictions they sell into to buy, sell and broker securities, stocks, bonds, commodities, and mutual funds.","Bond Dealers Brokers – Securities, Mutual Funds, Stocks, Commodities, Bonds Commodity Dealers Dealers – Securities, Mutual Funds, Stocks, Commodities, Bonds Foreign Currency Purchase Licensed Foreign Exchange Trading Binary Options Investment Firms – Dealers, Brokers Mutual Funds Brokers Stockbrokers","6010 – Financial Institutions – Manual Cash Disbursements 6012 – Financial Institutions – Merchandise, Services, and Debt Repayment"
6300,"Insurance Sales, Underwriting, and Premiums","Merchants classified with this MCC sell personal or business insurance policies such as automobile, life, health, hospital, medical, and dental insurance, homeowners’ and renters’ insurance, real estate title insurance, pet health insurance and flood, fire, or earthquake insurance.",Automobile Insurance – Sales (Non-Direct Marketing) Health Insurance – Sales Homeowners Insurance – Sales Life Insurance – Sales Medical Insurance – Sales Product Warranties,5960 – Direct Marketing – Insurance Services
6513,Real Estate Agents and Managers,,,
6540,Non-Financial Institutions – Stored Value Card Purchase/Load,,,
